link,name,ou
https://byui.brightspace.com/d2l/p/home/273744,AGTEC 290R: 01 (Campus); Spring 2017,273744
https://byui.brightspace.com/d2l/p/home/273741,AGTEC 490: 01 (Campus); Spring 2017,273741
https://byui.brightspace.com/d2l/p/home/273020,ANTH 101: 01 (Campus); Spring 2017,273020
https://byui.brightspace.com/d2l/p/home/274573,Applied Voice (Campus); Spring 2017,274573
https://byui.brightspace.com/d2l/p/home/275400,APS 103: 01 (Campus); Spring 2017,275400
https://byui.brightspace.com/d2l/p/home/274138,APS 103: 02 (Campus); Spring 2017,274138
https://byui.brightspace.com/d2l/p/home/274141,APS 103: 03 (Campus); Spring 2017,274141
https://byui.brightspace.com/d2l/p/home/271204,"APS 122: 01,02 (Campus); Spring 2017",271204
https://byui.brightspace.com/d2l/p/home/270704,APS 220: 01 (Campus); Spring 2017,270704
https://byui.brightspace.com/d2l/p/home/271704,"APS 220L: 01,02,03 (Campus); Spring 2017",271704
https://byui.brightspace.com/d2l/p/home/275878,APS 232: 01 (Campus); Spring 2017,275878
https://byui.brightspace.com/d2l/p/home/265147,APS 290R: 02 (Campus); Spring 2017,265147
https://byui.brightspace.com/d2l/p/home/265164,APS 312: 01 (Campus); Spring 2017,265164
https://byui.brightspace.com/d2l/p/home/270707,APS 397R: 01 (Campus); Spring 2017,270707
https://byui.brightspace.com/d2l/p/home/265150,APS 398R: 01 (Campus); Spring 2017,265150
https://byui.brightspace.com/d2l/p/home/271721,APS 412: 01 (Campus); Spring 2017,271721
https://byui.brightspace.com/d2l/p/home/238024,ARCH 100: 01 (Campus); Spring 2017,238024
https://byui.brightspace.com/d2l/p/home/274675,"ARCH 190: 01,02 (Campus); Spring 2017",274675
https://byui.brightspace.com/d2l/p/home/274753,"ARCH 190: 03,04 (Campus); Spring 2017",274753
https://byui.brightspace.com/d2l/p/home/238027,ARCH 201: 01 (Campus); Spring 2017,238027
https://byui.brightspace.com/d2l/p/home/273946,ARCH 270: 01 (Campus); Spring 2017,273946
https://byui.brightspace.com/d2l/p/home/238030,ARCH 285: 01 (Campus); Spring 2017,238030
https://byui.brightspace.com/d2l/p/home/273877,ARCH 300: 01 (Campus); Spring 2017,273877
https://byui.brightspace.com/d2l/p/home/272196,ART 102: 01 (Campus); Spring 2017,272196
https://byui.brightspace.com/d2l/p/home/272199,ART 102: 02 (Campus); Spring 2017,272199
https://byui.brightspace.com/d2l/p/home/272202,ART 125: 01 (Campus); Spring 2017,272202
https://byui.brightspace.com/d2l/p/home/274980,ART 130: 01 (Campus); Spring 2017,274980
https://byui.brightspace.com/d2l/p/home/274560,ART 130: 02 (Campus); Spring 2017,274560
https://byui.brightspace.com/d2l/p/home/274965,ART 130: 03 (Campus); Spring 2017,274965
https://byui.brightspace.com/d2l/p/home/263046,ART 160: 01 (Campus); Spring 2017,263046
https://byui.brightspace.com/d2l/p/home/236992,ART 201: 01 (Campus); Spring 2017,236992
https://byui.brightspace.com/d2l/p/home/268937,ART 230: 01 (Campus); Spring 2017,268937
https://byui.brightspace.com/d2l/p/home/273062,ART 235: 01 (Campus); Spring 2017,273062
https://byui.brightspace.com/d2l/p/home/270810,ART 240: 01 (Campus); Spring 2017,270810
https://byui.brightspace.com/d2l/p/home/270813,ART 251: 02 (Campus); Spring 2017,270813
https://byui.brightspace.com/d2l/p/home/263049,ART 260: 01 (Campus); Spring 2017,263049
https://byui.brightspace.com/d2l/p/home/275996,ART 270: 02 (Campus); Spring 2017,275996
https://byui.brightspace.com/d2l/p/home/275941,ART 280: 02 (Campus); Spring 2017,275941
https://byui.brightspace.com/d2l/p/home/275993,ART 297R: 01 (Campus); Spring 2017,275993
https://byui.brightspace.com/d2l/p/home/236998,ART 302: 01 (Campus); Spring 2017,236998
https://byui.brightspace.com/d2l/p/home/273065,ART 331R: 01 (Campus); Spring 2017,273065
https://byui.brightspace.com/d2l/p/home/236510,ART 342R: 01 (Campus); Spring 2017,236510
https://byui.brightspace.com/d2l/p/home/236507,ART 348R: 01 (Campus); Spring 2017,236507
